step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J21_stopped,J21_accumulated_waiting_time,J21_average_speed,J31_stopped,J31_accumulated_waiting_time,J31_average_speed,J32_stopped,J32_accumulated_waiting_time,J32_average_speed,J44_stopped,J44_accumulated_waiting_time,J44_average_speed,J46_stopped,J46_accumulated_waiting_time,J46_average_speed,J47_stopped,J47_accumulated_waiting_time,J47_average_speed,J50_stopped,J50_accumulated_waiting_time,J50_average_speed,J51_stopped,J51_accumulated_waiting_time,J51_average_speed,J52_stopped,J52_accumulated_waiting_time,J52_average_speed,J53_stopped,J53_accumulated_waiting_time,J53_average_speed,J54_stopped,J54_accumulated_waiting_time,J54_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,7.136923298616894,0,0.0,1.0,0,0.0,0.47888156474770893,0,0.0,1.0,0,0.0,0.5286638114958141,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,2,0.0,0.0,8.007027058203795,0,0.0,1.0,1,0.0,0.0,0,0.0,0.9371511647238174,1,0.0,0.4575736702068113,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
15.0,0,0.0,0.0,10.73481746716413,0,0.0,1.0,0,0.0,0.7844095967302256,0,0.0,1.0,0,0.0,0.725336968907257,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,9.773983514627924,0,0.0,1.0,0,0.0,0.19164297581795606,0,0.0,0.9062687054667427,0,0.0,0.5200421741497117,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,10.919105238575073,0,0.0,0.9782725843009974,0,0.0,0.9690464258749235,0,0.0,1.0,0,0.0,0.8195082978401768,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,1,2.0,0.14285714285714285,9.772366477309344,0,0.0,0.9690378576472014,0,0.0,0.1939121715034852,0,0.0,1.0,0,0.0,0.6096741398611876,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,10.820867501882155,0,0.0,1.0,0,0.0,0.9680014884565576,0,0.0,1.0,0,0.0,0.8395503512894453,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9645049133425438,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,1,3.0,0.21428571428571427,10.2637137527592,0,0.0,0.9810697271682179,0,0.0,0.5468334986273802,0,0.0,1.0,0,0.0,0.31773240557124677,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
45.0,1,0.0,0.0,10.723907045689728,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9231249972476376,0,0.0,0.8965096363864097,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8750355141175833,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,10.63931731065213,0,0.0,1.0,0,0.0,0.4572603907412642,0,0.0,1.0,0,0.0,0.409768521195854,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9562748631772843,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
55.0,3,0.0,0.0,9.891524517434283,0,0.0,1.0,1,0.0,0.0,0,0.0,0.950841677268336,1,0.0,0.46689189367664774,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.974574725157392,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
