Yöntem,Ortalama Bekleme Süresi (s),Toplam CO₂ (mg),Ortalama Hız (m/s),Toplam Throughput (araç),Ortalama Yoğunluk (araç/m)
Static,6.95,128569496,4.54,554,0.021111
Webster,5.67,132263252,4.34,536,0.02185
Actuated,4.36,112662355,4.81,537,0.01886
Max-Pressure,8.43,119793938,5.66,605,0.018313
SOTL-Improved,10.01,109473817,5.99,618,0.017533
SOTL-Platoon,10.01,109473817,5.99,618,0.017533
SOTL-MultiAgent,10.01,109473817,5.99,618,0.017533
Fuzzy-Logic,10.01,109473817,5.99,618,0.017533
Gap-Out,7.19,130760242,3.67,480,0.022377
PPO,0.0,12208691,9.16,91,0.001841
DQN,0.0,12540168,9.4,93,0.001794
A2C,0.0,11941670,9.42,101,0.001784
