step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J21_stopped,J21_accumulated_waiting_time,J21_average_speed,J31_stopped,J31_accumulated_waiting_time,J31_average_speed,J32_stopped,J32_accumulated_waiting_time,J32_average_speed,J44_stopped,J44_accumulated_waiting_time,J44_average_speed,J46_stopped,J46_accumulated_waiting_time,J46_average_speed,J47_stopped,J47_accumulated_waiting_time,J47_average_speed,J50_stopped,J50_accumulated_waiting_time,J50_average_speed,J51_stopped,J51_accumulated_waiting_time,J51_average_speed,J52_stopped,J52_accumulated_waiting_time,J52_average_speed,J53_stopped,J53_accumulated_waiting_time,J53_average_speed,J54_stopped,J54_accumulated_waiting_time,J54_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,7.557437710412778,0,0.0,1.0,0,0.0,0.49178936077724555,0,0.0,1.0,0,0.0,0.5082683705006893,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,2,0.0,0.0,8.484450867752917,0,0.0,1.0,1,0.0,0.0,0,0.0,0.9293134711615234,1,0.0,0.48057778648334076,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
15.0,0,0.0,0.0,10.700100743627818,0,0.0,1.0,0,0.0,0.7736603106271167,0,0.0,1.0,0,0.0,0.7337201775023589,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.163305072953891,0,0.0,1.0,0,0.0,0.1690901242616205,0,0.0,0.9512647317590952,0,0.0,0.5570135021346708,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,11.490150692780762,0,0.0,1.0,0,0.0,0.7860845635294205,0,0.0,1.0,0,0.0,0.8208973676816697,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,9.950013300563247,0,0.0,0.9217459951343392,0,0.0,0.2848360858419913,0,0.0,1.0,0,0.0,0.6033143958252056,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,11.04589218314849,0,0.0,0.8617360207265181,0,0.0,0.9031662774974175,0,0.0,1.0,0,0.0,0.8184465089149507,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9380047539708627,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,1,5.0,0.3333333333333333,10.504290545588658,0,0.0,1.0,0,0.0,0.40386691802675445,0,0.0,1.0,0,0.0,0.7493625656669829,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
45.0,2,10.0,0.7692307692307693,9.881770369878199,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9758165455690172,0,0.0,0.8994123053586451,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,11.048594668553756,0,0.0,1.0,0,0.0,0.5466211837760668,0,0.0,1.0,0,0.0,0.6056192617443021,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9438154251481237,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
55.0,3,0.0,0.0,9.364576892512826,0,0.0,1.0,1,0.0,0.0,0,0.0,0.9447249588216722,1,0.0,0.4724085534279227,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9853480869373162,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
60.0,0,0.0,0.0,11.21199156101112,0,0.0,0.9262833689684549,0,0.0,0.7103919868646827,0,0.0,1.0,0,0.0,0.7994019530011601,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
65.0,1,0.0,0.0,9.896108498254716,0,0.0,0.9035473079342927,0,0.0,0.11818794956224397,0,0.0,0.9294895434546965,0,0.0,0.5240538764638896,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
70.0,0,0.0,0.0,11.733253276507922,0,0.0,1.0,0,0.0,0.8633127508397326,0,0.0,1.0,0,0.0,0.8405671508856732,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
75.0,0,0.0,0.0,9.395426263220477,0,0.0,1.0,0,0.0,0.2588178252366254,0,0.0,1.0,0,0.0,0.6422872241436053,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9320901565811842,0,0.0,0.9738688686516788,0,0.0,1.0,0,0.0,0.8535267557776351,0,0.0,1.0,0,0.0
80.0,0,0.0,0.0,12.560934613981345,0,0.0,0.9191502459657025,0,0.0,0.9283083940232428,0,0.0,1.0,0,0.0,0.9832572262139925,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
85.0,0,0.0,0.0,10.611366094048272,0,0.0,1.0,0,0.0,0.3863705783907419,0,0.0,1.0,0,0.0,0.7884108749317651,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9155749032571059,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
90.0,0,0.0,0.0,11.474264050517016,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9590866839410891,0,0.0,0.8813128115405817,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
95.0,1,0.0,0.0,9.753831887252764,0,0.0,1.0,0,0.0,0.5368999591200397,0,0.0,1.0,0,0.0,0.7579296242494282,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
100.0,3,0.0,0.0,8.278930510092524,0,0.0,0.8972466735720406,1,0.0,0.0,0,0.0,0.9490566134696007,1,0.0,0.48125241245846445,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
105.0,1,3.0,0.2,9.868973089183555,0,0.0,0.9514704624959087,0,0.0,0.5747917855712036,0,0.0,1.0,0,0.0,0.6496028073391776,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9041561288383222,0,0.0,0.9228036058202322,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
110.0,2,10.0,0.625,9.068353222008476,0,0.0,0.9805197400075681,0,0.0,0.12357951612231818,0,0.0,1.0,0,0.0,0.5235294073202839,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9947884671672761,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
115.0,0,0.0,0.0,10.60400479396112,0,0.0,1.0,0,0.0,0.9081705975135653,0,0.0,1.0,0,0.0,0.8435650522000002,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
120.0,0,0.0,0.0,10.9805529169852,0,0.0,0.9745728247980742,0,0.0,0.20268221345200801,0,0.0,1.0,0,0.0,0.5875820999083685,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
125.0,0,0.0,0.0,10.888489382520739,0,0.0,1.0,0,0.0,0.7817873791900122,0,0.0,1.0,0,0.0,0.9541324773722019,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
130.0,0,0.0,0.0,10.95278227420446,0,0.0,0.9681458168258279,0,0.0,0.484892028090865,0,0.0,1.0,0,0.0,0.7056499022024855,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9348219559839392,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
135.0,0,0.0,0.0,12.09862287742878,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9882305377631209,0,0.0,0.9612991082509529,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
140.0,0,0.0,0.0,11.7842911046392,0,0.0,0.9812649917639903,0,0.0,0.5247036021369115,0,0.0,1.0,0,0.0,0.6113908002092052,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9013044905663796,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
145.0,4,1.0,0.0625,9.26922182315728,0,0.0,0.9170616910429495,1,0.0,0.0,0,0.0,0.9208250910013438,1,0.0,0.4903725341628299,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
150.0,1,6.0,0.4,9.964062187011029,0,0.0,1.0,0,0.0,0.8477787752607471,0,0.0,1.0,0,0.0,0.6287411084427572,0,0.0,1.0,0,0.0,1.0,0,0.0,0.993928824304854,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
155.0,0,0.0,0.0,8.981607027601434,0,0.0,0.9767237418697227,0,0.0,0.13081701200687493,0,0.0,0.9120468839460266,0,0.0,0.5571130753698745,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8690589301456848,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
160.0,1,0.0,0.0,10.852674234225336,0,0.0,1.0,0,0.0,0.9641056967492805,0,0.0,1.0,0,0.0,0.7684573152638159,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
165.0,1,4.0,0.25,9.704561160558058,0,0.0,1.0,0,0.0,0.2910409001254798,0,0.0,1.0,0,0.0,0.6264213908066072,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9614832043780313,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
170.0,0,0.0,0.0,11.619153066572931,0,0.0,0.9392164987320979,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8839166594262764,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9511190289933025,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
175.0,0,0.0,0.0,10.33299787779034,0,0.0,1.0,0,0.0,0.4377998048870435,0,0.0,1.0,0,0.0,0.6572801637491121,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
180.0,0,0.0,0.0,11.997965939468918,0,0.0,0.9014786228573809,0,0.0,1.0,0,0.0,0.9722549992470704,0,0.0,0.9767461052021119,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
185.0,1,4.0,0.23529411764705882,9.93514794940559,0,0.0,1.0,0,0.0,0.37016851884308505,0,0.0,1.0,0,0.0,0.7399100478116891,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9577052511359931,0,0.0,0.9417793356579639,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
190.0,3,9.0,0.5,10.198416119746643,0,0.0,0.9593132108380595,1,0.0,0.4773363210218913,0,0.0,0.9052775387900008,1,0.0,0.4739399481919984,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,0.0
195.0,0,0.0,0.0,10.746321033964435,0,0.0,1.0,0,0.0,0.5910578048940678,0,0.0,1.0,0,0.0,0.5190718014961991,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9719722287041763,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
